RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,55,144,4,84,20,3,0,83,2,3,5,23,1,43,0,0,0,33,-8,8,1,1,69
Bad,61,58,15,41,2,4,4,100,-7,0,8,7,0,67,0,0,0,0,-8,0,-8,-8,0
Bad,67,66,5,24,9,0,0,100,-7,7,8,9,4,44,0,4,4,53,66,4,2,1,86
Bad,66,169,1,73,28,1,1,93,76,6,6,30,3,57,0,5,4,72,83,6,4,3,91
Bad,81,333,27,132,12,0,0,100,-7,7,8,12,0,25,0,1,1,51,89,3,1,0,80
Bad,59,137,11,78,31,0,0,91,1,4,6,32,1,47,0,0,0,62,93,12,4,3,94
Good,54,88,7,37,25,0,0,92,9,4,6,26,3,58,0,4,4,89,76,7,7,2,100
Good,68,148,7,65,17,0,0,83,31,6,6,18,1,44,0,0,0,28,48,2,2,2,40
Bad,59,324,2,138,24,0,0,85,5,4,6,27,1,26,0,1,1,68,-8,7,1,3,90
Bad,61,79,4,36,19,0,0,95,5,4,6,19,3,26,0,6,6,31,86,5,3,1,62
Good,82,96,5,47,16,0,0,100,-7,7,8,16,3,31,0,0,0,15,88,4,2,0,67
Bad,50,311,25,76,12,1,0,60,2,3,5,15,0,20,0,1,1,84,64,5,2,2,88
Bad,74,274,2,66,23,0,0,100,-7,6,8,28,4,39,0,2,2,18,65,3,5,1,67
Good,69,256,6,117,11,1,1,100,-7,7,8,14,1,8,0,0,0,13,-8,2,-8,0,67
Bad,63,262,26,95,3,2,2,75,27,6,4,6,0,100,0,0,0,-8,-8,-8,1,-8,100
Bad,63,184,3,77,34,0,0,97,32,6,6,36,2,36,0,11,10,71,80,10,2,3,82
Bad,61,256,19,68,14,0,0,87,0,4,6,15,0,33,0,2,1,62,68,3,3,1,86
Bad,62,131,4,59,16,4,2,79,23,6,5,20,4,58,0,4,4,25,91,3,4,1,70
Bad,89,244,9,147,10,0,0,100,-7,7,8,10,1,10,0,0,0,3,-8,2,-8,0,50
Bad,65,43,2,26,15,1,1,100,-7,7,8,17,2,25,0,4,4,31,83,5,1,0,75
Bad,57,147,4,73,27,1,1,97,1,0,2,31,2,48,0,4,4,44,87,3,2,3,56
Bad,72,365,11,83,22,0,0,100,-7,7,8,22,1,41,0,0,0,49,23,6,2,1,73
Good,72,84,4,53,29,0,0,100,-7,7,8,30,2,27,0,1,1,43,48,9,5,3,64
Bad,65,88,9,45,20,0,0,85,1,4,6,20,1,20,0,0,0,14,71,4,2,1,50
Bad,64,91,4,55,19,1,1,90,0,0,2,20,2,50,0,2,2,24,81,6,3,1,82
Bad,58,265,3,79,25,2,1,93,13,0,5,28,2,48,0,1,1,63,50,8,2,0,91
Bad,58,150,16,72,18,2,0,55,4,4,5,22,0,45,0,1,1,79,38,7,3,0,91
Bad,79,162,7,94,17,0,0,100,-7,7,8,17,1,29,0,0,0,28,-8,3,1,1,57
Bad,66,284,32,107,15,2,2,82,3,4,4,17,0,53,0,1,1,19,50,3,2,1,63
Bad,69,476,8,157,38,4,4,100,-7,6,8,39,1,36,0,4,4,50,54,14,2,4,89
Good,71,179,3,62,15,3,2,83,37,6,2,18,4,33,0,5,5,5,9,1,1,0,22
Bad,54,114,12,49,9,3,3,64,4,0,2,12,0,27,0,0,0,62,14,6,2,1,100
Bad,68,133,7,44,39,2,2,100,-7,6,8,39,4,67,0,2,2,15,73,5,2,0,50
Good,75,164,4,66,19,0,0,100,-7,7,8,19,2,21,0,0,0,53,92,5,1,1,55
Bad,67,118,6,37,23,2,2,88,70,6,2,26,5,42,0,0,0,31,70,5,3,1,67
Good,88,153,33,92,13,0,0,100,-7,7,8,14,0,7,0,0,0,1,-8,1,-8,0,25
Bad,51,186,13,96,22,3,1,84,2,0,2,25,0,56,0,4,3,79,50,5,3,3,100
Bad,70,127,25,57,23,0,0,96,-8,6,6,24,0,13,0,0,0,51,-8,9,-8,1,67
Bad,65,116,10,37,14,1,1,93,72,6,2,15,1,13,0,2,2,52,-8,3,1,2,56
Bad,78,21,4,13,11,0,0,100,-7,7,8,11,5,64,0,3,3,7,-8,3,-8,0,75
Good,86,318,18,90,13,0,0,100,-7,7,8,13,0,62,0,0,0,0,44,0,2,-8,50
Good,90,230,13,73,11,0,0,100,-7,7,8,13,0,62,0,0,0,1,71,1,4,0,71
Bad,76,293,4,74,33,0,0,100,-7,7,8,34,1,38,0,2,2,37,-8,13,1,0,88
Bad,70,37,4,20,19,0,0,100,-7,7,8,20,2,20,0,3,3,42,73,2,2,1,50
Bad,73,255,16,100,40,0,0,100,-7,7,8,44,0,23,0,1,1,79,-8,18,1,13,80
Bad,72,209,2,95,41,0,0,100,-7,7,8,42,3,38,0,1,1,42,-8,7,2,2,82
Good,83,398,3,118,29,0,0,100,-7,7,8,29,2,31,0,3,3,22,87,6,3,0,69
Good,87,326,7,111,26,0,0,100,-7,7,8,30,1,40,0,0,0,12,89,3,2,0,56
Bad,55,114,6,59,19,0,0,89,5,4,6,19,1,53,0,1,1,97,90,8,2,6,100
Bad,65,478,12,97,44,0,0,89,1,4,6,47,0,32,0,9,9,63,-8,9,-8,6,60
Bad,78,197,23,91,15,0,0,100,-7,7,8,17,0,41,0,5,5,57,32,2,2,-8,67
Good,79,243,17,77,35,0,0,97,67,6,6,39,0,36,0,2,2,20,-8,4,1,0,56
Bad,75,183,18,92,21,0,0,100,-7,7,8,22,0,27,0,0,0,88,91,9,3,5,93
Bad,70,176,8,96,20,0,0,95,17,5,6,20,1,30,0,0,0,74,71,8,4,3,86
Bad,78,368,6,74,42,0,0,98,23,5,6,43,3,49,0,3,3,10,19,8,2,0,67
Good,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,75,300,14,124,22,0,0,100,-7,7,8,23,0,39,0,0,0,57,-8,4,1,1,100
Bad,76,150,11,54,14,0,0,100,-7,7,8,15,1,40,0,0,0,32,96,4,2,0,75
Bad,72,168,8,62,10,0,0,100,-7,7,8,11,1,18,0,5,5,60,82,7,1,0,100
Bad,55,118,4,69,12,7,4,50,4,3,3,22,2,27,0,2,2,79,79,5,2,2,88
Bad,74,277,30,123,24,0,0,88,12,6,6,24,0,25,0,0,0,45,-8,12,1,2,93
Bad,63,174,1,62,11,1,0,79,5,3,5,14,1,29,0,5,5,37,101,5,2,2,70
Bad,81,137,9,66,34,0,0,100,-7,7,8,34,1,62,0,1,1,24,92,3,4,0,78
Good,81,126,9,78,18,0,0,100,-7,7,8,18,1,83,0,0,0,0,64,1,3,-8,80
Good,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,59,243,11,79,38,1,1,76,7,4,6,43,1,50,0,1,1,63,78,7,4,4,86
Good,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,66,176,11,81,43,0,0,98,3,4,6,44,1,39,0,2,2,36,64,3,4,1,47
Bad,72,169,5,60,21,1,1,96,30,6,3,23,1,52,0,4,4,66,82,4,3,1,78
Good,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Good,73,409,7,94,38,0,0,100,-7,7,8,39,2,18,0,1,1,27,69,11,2,2,72
Bad,86,419,10,122,17,0,0,100,-7,7,8,18,1,72,0,0,0,0,36,0,2,-8,50
Bad,91,282,100,209,6,0,0,100,-7,7,8,7,0,43,0,0,0,0,-8,0,-8,-8,0
Good,73,324,15,89,19,0,0,89,9,4,6,19,0,21,0,0,0,34,36,6,3,1,64
Good,78,134,2,63,35,0,0,93,32,6,6,40,3,40,0,0,0,22,55,5,4,0,60
Bad,65,155,8,37,20,1,1,95,8,4,6,21,1,38,0,2,2,49,87,5,5,1,67
Bad,75,70,1,38,8,0,0,100,-7,7,8,9,1,78,0,4,3,17,-8,2,1,-8,100
Good,84,277,8,109,8,0,0,100,-7,7,8,8,1,50,0,0,0,33,-8,2,1,0,100
Good,75,294,12,94,39,0,0,98,-8,6,6,40,0,35,0,2,2,17,-8,6,5,0,61
Good,60,357,17,141,9,4,3,67,3,3,4,13,0,50,0,1,1,28,-8,4,-8,-8,100
Good,68,106,3,54,29,1,1,87,51,6,2,31,2,65,0,1,1,85,73,3,5,2,100
Bad,67,85,7,44,15,1,1,93,45,6,6,16,2,33,0,0,0,59,62,3,2,2,83
Bad,71,282,1,73,22,0,0,96,-8,6,6,25,5,4,0,2,2,37,39,11,1,1,80
Bad,50,204,2,91,23,2,0,82,1,3,5,28,2,32,0,6,6,32,-8,5,-8,0,67
Bad,62,151,19,99,5,1,1,80,16,6,6,6,0,80,0,0,0,40,75,1,2,0,100
Bad,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,70,333,2,75,16,0,0,100,-7,5,8,20,8,30,0,0,0,78,92,6,2,4,67
Bad,58,307,6,79,14,1,0,73,18,6,5,15,2,53,0,0,0,81,75,3,3,2,86
Good,-9,17,17,17,1,0,0,100,-7,9,8,1,0,100,0,0,0,-8,-8,-8,-8,-8,-8
Good,88,188,13,82,20,0,0,100,-7,7,8,20,0,40,0,0,0,17,82,2,2,0,50
Bad,65,107,7,48,40,0,0,100,-7,6,8,43,4,42,0,2,2,80,86,5,2,4,70
Bad,74,169,5,78,26,0,0,96,76,6,6,27,2,37,0,1,1,37,91,5,4,0,75
Bad,78,282,2,95,23,0,0,100,-7,7,8,24,1,13,0,1,1,22,-8,4,1,1,43
Good,74,378,7,110,41,0,0,98,35,6,6,42,4,57,0,0,0,44,76,4,5,2,69
Good,77,311,11,103,39,0,0,98,-8,6,6,42,1,36,0,0,0,46,73,5,4,1,69
Bad,67,299,2,79,25,0,0,89,15,5,6,27,3,37,0,12,11,63,63,13,3,4,94
Good,56,76,6,32,11,2,2,92,15,5,2,14,5,17,0,3,3,83,42,5,2,2,100
Good,88,211,20,103,13,0,0,100,-7,7,8,14,0,57,-7,0,0,0,19,2,3,0,71
Bad,75,169,2,59,21,0,0,100,-7,7,8,22,4,36,-7,4,4,43,112,4,6,0,83
Bad,66,127,2,69,17,0,0,94,16,6,6,18,4,33,-7,3,3,42,81,3,4,3,58
Good,81,220,2,91,20,0,0,100,-7,7,8,23,2,39,-7,2,2,36,-8,3,1,1,67
Bad,71,177,8,95,24,0,0,96,-8,6,6,24,1,75,-7,1,1,87,87,4,2,3,100
Bad,69,112,2,43,5,0,0,100,-7,7,8,7,2,43,-7,1,1,37,58,3,2,0,83
Good,74,150,13,91,13,1,1,93,35,6,2,14,0,29,-7,0,0,36,-8,1,1,1,40
Bad,56,224,21,109,27,1,1,79,4,4,6,28,0,21,-7,1,1,101,79,15,1,11,94
Bad,65,243,9,89,23,0,0,83,2,4,6,23,1,52,-7,0,0,49,75,4,4,1,80
Good,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Good,92,152,15,154,14,0,0,100,-7,7,8,15,0,47,-7,0,0,7,79,2,2,0,80
Good,91,150,3,108,10,0,0,100,-7,7,8,11,1,64,-7,1,1,2,41,1,3,0,67
Good,73,183,6,90,19,1,1,100,-7,7,8,19,1,32,-7,0,0,6,52,1,2,0,50
Bad,66,255,1,80,14,1,1,88,9,4,6,16,3,69,-7,4,4,58,60,3,4,1,88
Good,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,87,120,12,59,26,0,0,100,-7,7,8,26,0,54,-7,1,1,1,-8,2,1,0,75
Bad,64,246,16,106,5,3,3,88,57,6,3,8,0,88,-7,1,1,-8,144,-8,4,-8,100
Bad,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,63,123,2,40,5,1,1,86,29,6,4,7,4,43,-7,0,0,77,-8,3,1,1,100
Good,78,177,1,65,26,0,0,96,-8,6,6,28,3,46,-7,1,1,4,72,4,5,0,64
Bad,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,75,212,23,105,11,0,0,82,21,6,6,11,0,45,-7,1,1,13,-8,1,1,0,100
Good,68,224,9,110,24,5,5,86,25,6,2,29,1,31,-7,5,5,5,73,2,2,-8,71
Bad,61,208,6,96,24,3,2,74,44,6,2,27,3,63,-7,2,2,53,77,6,4,2,92
Bad,63,203,2,79,16,0,0,59,3,4,6,17,1,47,-7,3,3,55,77,7,3,1,91
Bad,69,160,5,109,11,1,1,92,20,6,3,13,1,31,-7,0,0,94,-8,3,2,3,100
Bad,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,49,103,4,48,10,12,9,53,7,0,2,17,1,35,-7,2,2,37,66,5,2,0,80
Bad,74,159,9,69,26,0,0,100,-7,6,7,27,2,48,-7,0,0,61,67,3,4,2,78
Bad,65,241,37,95,15,0,0,76,0,4,6,17,0,29,-7,1,1,51,43,3,1,1,80
Bad,80,203,6,91,15,0,0,100,-7,7,8,17,1,29,-7,0,0,16,93,6,2,1,69
Bad,61,61,10,41,9,0,0,80,-8,5,6,10,1,50,-7,2,2,80,95,4,3,1,100
Bad,57,178,2,79,23,0,0,92,2,4,6,26,2,58,-7,3,3,57,77,5,2,1,100
Bad,59,131,7,81,13,1,0,69,5,4,5,17,1,50,-7,2,2,75,-8,3,2,1,100
Bad,71,103,15,94,6,1,0,86,13,6,5,7,0,14,-7,0,0,48,-8,2,-8,0,67
Good,86,168,15,85,33,0,0,97,51,6,6,34,0,38,-7,0,0,3,-8,3,2,0,56
Good,83,106,3,62,28,0,0,100,-7,7,8,28,5,11,-7,4,4,17,-8,2,1,0,60
Bad,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,59,198,6,89,29,3,2,79,21,6,2,34,1,38,-7,3,3,38,98,11,1,1,86
Bad,59,256,0,50,11,1,0,44,1,4,5,16,1,75,-7,1,1,93,74,3,6,2,90
Good,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Good,55,203,7,81,19,2,1,86,3,3,5,21,2,33,-7,3,3,56,87,3,2,1,83
Good,75,258,28,97,23,0,0,96,-8,6,6,24,0,13,-7,0,0,31,-8,4,-8,0,57
Bad,78,41,3,16,3,0,0,100,-7,7,8,3,2,67,-7,16,16,0,-8,0,1,-8,50
Good,65,14,0,4,3,0,0,100,-7,7,8,6,5,33,-7,9,9,1,98,1,2,0,50
Good,80,233,3,106,28,0,0,97,2,4,6,30,4,37,2,3,3,4,98,4,2,0,86
Bad,70,252,3,73,20,4,2,88,31,6,3,24,4,67,2,1,1,16,93,3,2,0,63
Bad,59,-8,5,82,20,5,5,78,6,4,2,27,1,67,4,1,1,98,84,2,4,-8,100
Bad,57,246,4,72,34,2,1,88,3,1,3,40,4,73,2,3,3,12,70,3,12,0,89
Bad,77,154,3,55,31,0,0,100,-7,7,8,32,6,63,2,2,1,26,74,5,14,0,86
Bad,65,37,13,24,11,0,0,100,-7,7,8,11,0,27,3,4,4,81,-8,6,1,2,88